Date,Produit,Categorie,Prix_Unitaire,Quantite,Total
2024-01-01,Produit_0,Maison,485.1,1,485.1
2024-01-02,Produit_1,Jouets,389.82,1,389.82
2024-01-03,Produit_2,Electronique,470.35,3,1411.05
2024-01-04,Produit_3,Maison,448.47,2,896.94
2024-01-05,Produit_4,Maison,302.97,5,1514.85
2024-01-06,Produit_5,Jouets,5000.0,6,30000.0
2024-01-07,Produit_6,Electronique,53.36,7,373.52
2024-01-08,Produit_7,Electronique,106.03,4,424.12
2024-01-09,Produit_8,Maison,32.16,7,225.12
2024-01-10,Produit_9,Vêtements,169.41,8,1355.28
2024-01-11,Produit_10,Maison,200.45,1,200.45
2024-01-12,Produit_11,Maison,142.96,6,857.76
2024-01-13,Produit_12,Maison,416.08,8,3328.64
2024-01-14,Produit_13,Maison,184.81,5,924.05
2024-01-15,Produit_14,Jouets,147.66,4,590.64
2024-01-16,Produit_15,Electronique,275.92,2,551.84
2024-01-17,Produit_16,Jouets,79.05,6,474.3
2024-01-18,Produit_17,Jouets,403.08,6,2418.48
2024-01-19,Produit_18,Jouets,46.53,1,46.53
2024-01-20,Produit_19,Maison,493.57,9,4442.13
2024-01-21,Produit_0,Vêtements,388.4,6,2330.4
2024-01-22,Produit_1,Electronique,107.37,3,322.11
2024-01-23,Produit_2,Vêtements,12.71,4,50.84
2024-01-24,Produit_3,Jouets,409.58,4,1638.32
2024-01-25,Produit_4,Jouets,356.36,3,1069.08
2024-01-26,Produit_5,Vêtements,367.21,3,1101.63
2024-01-27,Produit_6,Vêtements,387.92,3,1163.76
2024-01-28,Produit_7,Vêtements,46.28,4,185.12
2024-01-29,Produit_8,Jouets,185.65,7,1299.55
2024-01-30,Produit_9,Jouets,66.78,4,267.12
2024-01-31,Produit_10,Electronique,432.92,9,3896.28
2024-02-01,Produit_11,Electronique,315.42,1,315.42
2024-02-02,Produit_12,Jouets,172.14,8,1377.12
2024-02-03,Produit_13,Vêtements,41.14,7,287.98
2024-02-04,Produit_14,Vêtements,162.38,2,324.76
2024-02-05,Produit_15,Electronique,169.34,8,1354.72
2024-02-06,Produit_16,Jouets,367.51,1,367.51
2024-02-07,Produit_17,Electronique,322.4,9,2901.6
2024-02-08,Produit_18,Electronique,444.73,9,4002.57
2024-02-09,Produit_19,Maison,241.39,2,482.78
2024-02-10,Produit_0,Maison,68.6,7,480.2
2024-02-11,Produit_1,Maison,359.49,3,1078.47
2024-02-12,Produit_2,Vêtements,382.78,7,2679.46
2024-02-13,Produit_3,Jouets,285.03,9,2565.27
2024-02-14,Produit_4,Jouets,387.77,4,1551.08
2024-02-15,Produit_5,Jouets,251.96,1,251.96
2024-02-16,Produit_6,Jouets,266.14,2,532.28
2024-02-17,Produit_7,Maison,219.5,1,219.5
2024-02-18,Produit_8,Vêtements,22.46,5,112.3
2024-02-19,Produit_9,Vêtements,62.87,5,314.35
2024-02-20,Produit_10,Maison,25.4,200,5080.0
2024-02-21,Produit_11,Vêtements,321.84,9,2896.56
2024-02-22,Produit_12,Maison,164.03,9,1476.27
2024-02-23,Produit_13,Jouets,259.2,3,777.6
2024-02-24,Produit_14,Maison,454.71,3,1364.13
2024-02-25,Produit_15,Jouets,132.15,3,396.45
2024-02-26,Produit_16,Jouets,211.09,4,844.36
2024-02-27,Produit_17,Electronique,380.22,8,3041.76
2024-02-28,Produit_18,Maison,122.11,6,732.66
2024-02-29,Produit_19,Electronique,47.72,8,381.76
2024-03-01,Produit_0,Maison,151.98,1,151.98
2024-03-02,Produit_1,Maison,89.0,8,712.0
2024-03-03,Produit_2,Electronique,465.55,4,1862.2
2024-03-04,Produit_3,Electronique,405.98,1,405.98
2024-03-05,Produit_4,Maison,320.37,8,2562.96
2024-03-06,Produit_5,Vêtements,437.02,4,1748.08
2024-03-07,Produit_6,Jouets,403.8,6,2422.8
2024-03-08,Produit_7,Electronique,101.42,8,811.36
2024-03-09,Produit_8,Jouets,447.35,4,1789.4
2024-03-10,Produit_9,Vêtements,274.28,3,822.84
2024-03-11,Produit_10,Vêtements,405.65,9,3650.85
2024-03-12,Produit_11,Vêtements,449.08,3,1347.24
2024-03-13,Produit_12,Electronique,165.82,9,1492.38
2024-03-14,Produit_13,Vêtements,63.93,2,127.86
2024-03-15,Produit_14,Electronique,121.69,2,243.38
2024-03-16,Produit_15,Vêtements,219.28,2,438.56
2024-03-17,Produit_16,Jouets,410.83,6,2464.98
2024-03-18,Produit_17,Jouets,431.76,3,1295.28
2024-03-19,Produit_18,Maison,13.41,9,120.69
2024-03-20,Produit_19,Jouets,260.27,4,1041.08
2024-03-21,Produit_0,Maison,214.53,1,214.53
2024-03-22,Produit_1,Jouets,118.83,4,475.32
2024-03-23,Produit_2,Electronique,68.73,1,68.73
2024-03-24,Produit_3,Jouets,175.43,5,877.15
2024-03-25,Produit_4,Maison,472.03,4,1888.12
2024-03-26,Produit_5,Maison,168.37,8,1346.96
2024-03-27,Produit_6,Vêtements,264.21,8,2113.68
2024-03-28,Produit_7,Electronique,354.48,7,2481.36
2024-03-29,Produit_8,Jouets,188.18,3,564.54
2024-03-30,Produit_9,Vêtements,486.17,1,486.17
2024-03-31,Produit_10,Jouets,481.6,1,481.6
2024-04-01,Produit_11,Jouets,133.37,3,400.11
2024-04-02,Produit_12,Vêtements,253.65,6,1521.9
2024-04-03,Produit_13,Vêtements,157.43,7,1102.01
2024-04-04,Produit_14,Vêtements,149.57,6,897.42
2024-04-05,Produit_15,Vêtements,28.07,6,168.42
2024-04-06,Produit_16,Vêtements,308.69,6,1852.14
2024-04-07,Produit_17,Jouets,256.31,3,768.93
2024-04-08,Produit_18,Vêtements,35.22,6,211.32
2024-04-09,Produit_19,Electronique,146.54,8,1172.32
